1,Padget McKee,pmckee1@hexun.com,China,00:19,101
2,Yalonda Jermyn,yjermyn2@omniture.com,China,18:11,202
3,Carmella Tapenden,ctapenden7@wikipedia.org,China,0:33,303
4,Virginie Maslin,vmaslin5@geocities.jp,Indonesia,23:43,101
5,Melonie Bleeze,mbleeze8@uol.com.br,Indonesia,2:28,202
6,Fax Cordaroy,fcordaroy9@i2i.jp,Russia,1:44,123
7,Tait Mc Caughan,tmc0@scribd.com,Finland,17:11,234
8,Lorne Gaukrodge,lgaukrodge6@cyberchimps.com,Brazil,8:12,345
9,Diannne Pharrow,dpharrow3@icio.us,Mongolia,23:16,456
10,Saree Nobes,snobes4@google.com.au,Czech Republic,0:31,567
